Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,In stock?,Stock,Sale price,Regular price,Categories,Tags,Images
simple,TRY-021-0G7S,Crisp Linen Button-Down Shirt,1,1,visible,Oversized cotton poplin shirt with relaxed sophistication.,"Oversized cotton poplin shirt with relaxed sophistication.<br><br>Designed for versatile everyday looks, this shirts combines style with functionality. Perfect for your collection and easy to integrate.<br><br>Test this look with <strong>TryLoom</strong> - see how it fits before you buy.",1,59,,1076680.00,"Smart Casual, Shirts","shirt, smart-casual",https://assets.gettryloom.com/woocommerce-dummy-data-generator/21.webp
simple,TRY-023-ZJH3,Fitted Short-Sleeve Oxford Shirt,1,0,visible,Smart casual oxford shirt perfect for elevated everyday wear.,"Smart casual oxford shirt perfect for elevated everyday wear.<br><br>Designed for versatile everyday looks, this shirts combines style with functionality. Perfect for your collection and easy to integrate.<br><br>Test this look with <strong>TryLoom</strong> - see how it fits before you buy.",1,49,,1328935.00,"Smart Casual, Shirts","shirt, smart-casual",https://assets.gettryloom.com/woocommerce-dummy-data-generator/23.webp
simple,TRY-025-Y9NU,Minimalist Flannel Shirt,1,0,visible,"Crisp linen button-down shirt with a refined, breathable feel.","Crisp linen button-down shirt with a refined, breathable feel.<br><br>Designed for versatile everyday looks, this shirts combines style with functionality. Perfect for your collection and easy to integrate.<br><br>Test this look with <strong>TryLoom</strong> - see how it fits before you buy.",1,89,,1650935.00,"Smart Casual, Shirts","shirt, smart-casual",https://assets.gettryloom.com/woocommerce-dummy-data-generator/25.webp
simple,TRY-027-WC2X,Oversized Cotton Poplin Shirt,1,0,visible,Oversized cotton poplin shirt with relaxed sophistication.,"Oversized cotton poplin shirt with relaxed sophistication.<br><br>Designed for versatile everyday looks, this shirts combines style with functionality. Perfect for your collection and easy to integrate.<br><br>Test this look with <strong>TryLoom</strong> - see how it fits before you buy.",1,75,,1935745.00,"Smart Casual, Shirts","shirt, smart-casual",https://assets.gettryloom.com/woocommerce-dummy-data-generator/27.webp
simple,TRY-029-LWAS,Draped Silk Button-Up Blouse,1,1,visible,Smart casual oxford shirt perfect for elevated everyday wear.,"Smart casual oxford shirt perfect for elevated everyday wear.<br><br>Designed for versatile everyday looks, this shirts combines style with functionality. Perfect for your collection and easy to integrate.<br><br>Test this look with <strong>TryLoom</strong> - see how it fits before you buy.",1,61,,803510.00,"Smart Casual, Shirts","shirt, smart-casual",https://assets.gettryloom.com/woocommerce-dummy-data-generator/29.webp
simple,TRY-031-8DHJ,Ribbed Short-Sleeve Knit Polo,1,0,visible,Soft ribbed knit polo with a refined texture and comfortable fit.,"Soft ribbed knit polo with a refined texture and comfortable fit.<br><br>Designed for versatile everyday looks, this knitwear combines style with functionality. Perfect for your collection and easy to integrate.<br><br>Test this look with <strong>TryLoom</strong> - see how it fits before you buy.",1,64,,364625.00,"Smart Casual, Knitwear","knitwear, polo",https://assets.gettryloom.com/woocommerce-dummy-data-generator/31.webp
simple,TRY-033-HJC4,Textured Cashmere Blend Polo,1,0,visible,Textured knitwear piece perfect for smart-casual occasions.,"Textured knitwear piece perfect for smart-casual occasions.<br><br>Designed for versatile everyday looks, this knitwear combines style with functionality. Perfect for your collection and easy to integrate.<br><br>Test this look with <strong>TryLoom</strong> - see how it fits before you buy.",1,10,,1760390.00,"Smart Casual, Knitwear","knitwear, polo",https://assets.gettryloom.com/woocommerce-dummy-data-generator/33.webp
simple,TRY-035-T3L8,Long-Sleeve Ribbed Polo,1,1,visible,Premium cashmere blend polo with subtle detailing.,"Premium cashmere blend polo with subtle detailing.<br><br>Designed for versatile everyday looks, this knitwear combines style with functionality. Perfect for your collection and easy to integrate.<br><br>Test this look with <strong>TryLoom</strong> - see how it fits before you buy.",1,14,,1084080.00,"Smart Casual, Knitwear","knitwear, polo",https://assets.gettryloom.com/woocommerce-dummy-data-generator/35.webp
simple,TRY-037-WSB1,Fine-Gauge Knit Polo Shirt,1,0,visible,Soft ribbed knit polo with a refined texture and comfortable fit.,"Soft ribbed knit polo with a refined texture and comfortable fit.<br><br>Designed for versatile everyday looks, this knitwear combines style with functionality. Perfect for your collection and easy to integrate.<br><br>Test this look with <strong>TryLoom</strong> - see how it fits before you buy.",1,41,,583910.00,"Smart Casual, Knitwear","knitwear, polo",https://assets.gettryloom.com/woocommerce-dummy-data-generator/37.webp
simple,TRY-039-XVKL,Zip-Neck Knitted Polo,1,0,visible,Textured knitwear piece perfect for smart-casual occasions.,"Textured knitwear piece perfect for smart-casual occasions.<br><br>Designed for versatile everyday looks, this knitwear combines style with functionality. Perfect for your collection and easy to integrate.<br><br>Test this look with <strong>TryLoom</strong> - see how it fits before you buy.",1,22,,901420.00,"Smart Casual, Knitwear","knitwear, polo",https://assets.gettryloom.com/woocommerce-dummy-data-generator/39.webp
